<<<<<<< HEAD
1 0.44 0.72
2 0 0.3
3 0.01 0.42
4 0.84 0.4
5 0.83 0.27
6 0.29 0.92
7 0.73 0.75
8 0.81 0.85
9 0.22 0.46
10 0.86 0.32
11 0.11 0.28
12 0.24 0.19
13 0.5 0.49
14 0.45 0.78
15 0.99 0.11
16 0.33 0.84
17 0.97 0.34
18 0.74 0.22
19 0.28 0.67
20 0.43 0.25
21 0.17 0.47
22 0.13 0.08
23 0.56 0.56
24 0.57 0.7
25 0.54 0.99
26 0.79 0.45
27 0.27 0.83
28 0.34 0.31
29 0.91 0.81
30 0.25 0.39
31 0.89 0.57
32 0.69 0.23
33 0.05 0.54
34 0.21 0.87
35 0.02 0.04
36 0.49 0.16
37 0.32 0.8
38 0.09 0.17
39 0.59 0.9
40 0.6 0.26
41 0.23 0.6
42 0.63 0.69
43 0.68 0.36
44 0.46 0.51
45 0.82 0.09
46 0.3 0.35
47 0.31 0.53
48 0.39 0.24
49 0.66 0.48
50 0.98 0.74
=======
1 0.0964096409640964 0.121712171217122
2 0.521552155215522 0.5998599859986
3 0.337333733373337 0.416841684168417
4 0.878587858785879 0.535053505350535
5 0.995599559955996 0.159215921592159
6 0.533253325332533 0.346134613461346
7 0.0114011401140114 0.295629562956296
8 0.287728772877288 0.138313831383138
9 0.81958195819582 0.474247424742474
10 0.650765076507651 0.251425142514251
11 0.497949794979498 0.406140614061406
12 0.671867186718672 0.219421942194219
13 0.392939293929393 0.648564856485649
14 0.341334133413341 0.70977097709771
15 0.885988598859886 0.418841884188419
16 0.930693069306931 0.439443944394439
17 0.675467546754675 0.575057505750575
18 0.135913591359136 0.326232623262326
19 0.652965296529653 0.371737173717372
20 0.931393139313931 0.735273527352735
21 0.519351935193519 0.183418341834183
22 0.0584058405840584 0.985998599859986
23 0.416941694169417 0.2998299829983
24 0.68966896689669 0.816081608160816
25 0.473247324732473 0.181218121812181
26 0.701270127012701 0.223622362236224
27 0.0347034703470347 0.14961496149615
28 0.945494549454945 0.299129912991299
29 0.113211321132113 0.283528352835284
30 0.62966296629663 0.421542154215422
31 0.676367636763676 0.320832083208321
32 0.0544054405440544 0.577057705770577
33 0.541254125412541 0.0476047604760476
34 0.184918491849185 0.922392239223922
35 0.511951195119512 0.451345134513451
36 0.784178417841784 0.562356235623562
37 0.4999499949995 0.47004700470047
38 0.177417741774177 0.161216121612161
39 0.342834283428343 0.651365136513651
40 0.127712771277128 0.287528752875288
41 0.576757675767577 0.0792079207920792
42 0.782878287828783 0.213021302130213
43 0.976897689768977 0.0869086908690869
44 0.819481948194819 0.112711271127113
45 0.692869286928693 0.52045204520452
46 0.120512051205121 0.452945294529453
47 0.122612261226123 0.575157515751575
48 0.50965096509651 0.0258025802580258
49 0.342534253425343 0.74007400740074
50 0.970597059705971 0.119011901190119
>>>>>>> 1e94b1f7fc8212302ea79313e08c9b75b14227be
